원예생명과학과,8,74,9.25,10번,95.45,0.43,95.88,95.47,1.25,4.7,4.93,0.65
동물생명자원과학과,6,131,21.83,10번,96.92,0.48,97.4,96.92,0.67,4.05,4.45,0.69
식품공학과,5,40,8,10번,92.53,0.35,92.88,96.91,5.92,5.06,4.27,0.91
생명환경화학과,6,86,14.33,16번,97.36,0.43,97.79,97.94,0.32,3.59,3.58,0.38
바이오소재과학과,6,61,10.17,12번,97.33,0.44,97.78,97.71,0.2,3.68,3.78,0.21
바이오산업기계공학과,5,51,10.2,3번,97.52,0.48,98.01,98,0.36,3.5,3.6,0.34
IT응용공학과,5,71,14.2,6번,98.04,0.46,98.5,98.46,0.29,3.13,3.05,0.26
바이오환경에너지학과,7,74,10.57,11번,96.34,0.39,96.73,96.97,1,4.27,4.25,0.49
조경학과,11,94,8.55,12번,96.23,0.36,96.59,96.52,1.18,4.41,4.58,0.77
식품자원경제학과,7,60,8.57,1번,97.06,0.48,97.55,97.93,0.5,3.87,3.44,0.51
광메카트로닉스공학과,7,103,14.71,4번,98.11,0.5,98.61,98.48,0.38,2.87,3.02,0.38
나노에너지공학과,12,244,20.33,3번,97.81,0.49,98.3,98.15,0.3,3.14,3.3,0.35
나노메카트로닉스공학과,8,117,14.63,6번,98.09,0.49,98.58,98.61,0.06,2.79,2.8,0.17
스포츠과학부,10,116,11.6,1번,96.92,0.41,97.33,97.56,1.28,3.66,3.46,0.62
의예과,15,353,23.53,19번,99.95,0.5,100.45,100.43,0.04,1.05,1.06,0.06
한의학전문대학원(학ㆍ석사통합과정),5,213,42.6,6번,99.56,0.5,100.06,100.02,0.11,1.47,1.46,0.15
정보컴퓨터공학부,17,619,36.41,25번,99,0.5,99.5,99.34,0.21,2.01,2.12,0.26
의생명융합공학부,14,221,15.79,10번,98.61,0.5,99.11,98.96,0.23,2.34,2.41,0.23
